GHCN_ID,Lat,Lon,Elev,State,Name,Probability_of_Snow_Depth_GT_0,Median_of_Snow_Depth_GT_0_inches,Probability_of_Snowfall_GT_0,Median_of_Snowfall_GT_0_inches
USW00045715,52.7167,174.1,37.2,AK,SHEMYA USAF BASE,52%,2,66%,0.5
RMC00914487,6.0833,171.7333,3,MH,MILI,0%,-9999,0%,-9999
RMW00040710,7.0833,171.3833,3,MH,MAJURO WBAS AP,0%,-9999,0%,-9999
RMC00914903,9.4667,170.25,1.8,MH,WOTJE,0%,-9999,0%,-9999
RMC00914304,5.9167,169.65,1.8,MH,JALUIT,0%,-9999,0%,-9999
RMC00913915,7.2667,168.8333,1.8,MH,AILINGLAPALAP,0%,-9999,0%,-9999
RMW00040604,8.7333,167.7333,2.1,MH,KWAJALEIN,0%,-9999,0%,-9999
WQW00041606,19.2833,166.65,4.3,UM,WAKE ISLAND,0%,-9999,0%,-9999
FMC00914898,5.2739,162.9742,4,FM,UTWA,0%,-9999,0%,-9999
FMC00914395,5.3544,162.9533,2.1,FM,KOSRAE,0%,-9999,0%,-9999
FMC00914720,6.2167,160.7,2.4,FM,PINGELAP,0%,-9999,0%,-9999
FMC00914482,6.8456,158.3064,9.1,FM,METALANIM,0%,-9999,0%,-9999
FMW00040504,6.9667,158.2167,36.6,FM,POHNPEI WSO,0%,-9999,0%,-9999
FMC00914705,6.9053,158.1586,45.7,FM,PAIES-KITTI,0%,-9999,0%,-9999
FMC00914590,3.85,155.0167,2.4,FM,NUKUORO,0%,-9999,0%,-9999
FMC00914325,1.0833,154.8,2.7,FM,KAPINGAMARANGI,0%,-9999,0%,-9999
FMC00914419,5.5167,153.8167,1.5,FM,LUKUNOCH,0%,-9999,0%,-9999
FMW00040505,7.45,151.8333,1.5,FM,CHUUK WSO AP,0%,-9999,0%,-9999
FMC00914761,7.35,149.2,2.1,FM,POLOWAT,0%,-9999,0%,-9999
CQC00914080,15.2136,145.7497,252.1,MP,CAPITOL HILL 1,0%,-9999,0%,-9999
CQC00914855,15.1189,145.7294,65.5,MP,SAIPAN INTL AP,0%,-9999,0%,-9999
CQC00914874,15,145.6333,81.7,MP,TINIAN,0%,-9999,0%,-9999
CQC00914801,14.1717,145.2428,179.2,MP,ROTA AP,0%,-9999,0%,-9999
GQC00914025,13.5761,144.9281,190.2,GU,ANDERSEN AFB GUAM,0%,-9999,0%,-9999
GQC00914950,13.5478,144.8928,160,GU,YIGO,0%,-9999,0%,-9999
GQC00914156,13.52,144.8472,106.7,GU,DEDEDO,0%,-9999,0%,-9999
GQC00914468,13.4528,144.7981,18.3,GU,MANGILAO,0%,-9999,0%,-9999
GQW00041415,13.4836,144.7961,77.4,GU,GUAM INTL AP,0%,-9999,0%,-9999
GQC00914001,13.3894,144.6575,3,GU,AGAT,0%,-9999,0%,-9999
FMC00914911,7.3833,143.9167,2.1,FM,WOLEAI ATOLL,0%,-9999,0%,-9999
